,objectname,rating,numplays,average,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,itemtype,,,,,,,,,,,,,
3873,"Space Cadets: Dice Duel","7","","6.83138","Space Cadets: Dice Duel","4","8","30","30","30","2013","standalone",,,,,,,,,,,,,
3874,"Space Cadets: Dice Duel – Die Fighter","6","","7.51","Space Cadets: Dice Duel – Die Fighter","2","10","30","30","30","2014","expansion",,,,,,,,,,,,,
3875,"Space Cadets: Promo Pack","7","","6.53429","Space Cadets: Promo Pack","3","6","90","90","90","2012","expansion",,,,,,,,,,,,,
3876,"Space Cadets: Resistance Is Mostly Futile","7","","7.07359","Space Cadets: Resistance Is Mostly Futile","2","7","90","90","90","2014","expansion",,,,,,,,,,,,,
3877,"Space Drifters","4","","5.89045","Space Drifters","2","6","35","35","35","2009","standalone",,,,,,,,,,,,,
3878,"Space Empires: 4X","8","","7.64354","Space Empires: 4X","1","4","180","180","180","2011","standalone",,,,,,,,,,,,,
3879,"Space Empires: Close Encounters","8","","8.2989","Space Empires: Close Encounters","1","4","180","180","180","2012","expansion",,,,,,,,,,,,,
3880,"Space Empires: Replicators","7","","8.52651","Space Empires: Replicators","1","5","180","180","180","2018","expansion",,,,,,,,,,,,,
3881,"Space Hulk","7","2","7.455","Space Hulk","2","4","45","45","45","1989","standalone",,,,,,,,,,,,,
3882,"Space Hulk: Death Angel – The Card Game","6","","6.99039","Space Hulk: Death Angel – The Card Game","1","6","60","60","30","2010","standalone",,,,,,,,,,,,,
3883,"Space Hulk: Death Angel – The Card Game – Deathwing Space Marine Pack","5","","7.39365","Space Hulk: Death Angel – The Card Game – Deathwing Space Marine Pack","1","6","30","30","30","2012","expansion",,,,,,,,,,,,,
3884,"Space Hulk: Death Angel – The Card Game – Mission Pack 1","5","","7.36524","Space Hulk: Death Angel – The Card Game – Mission Pack 1","1","6","30","30","30","2011","expansion",,,,,,,,,,,,,
3885,"Space Hulk: Death Angel – The Card Game: Space Marine Pack 1","5","","7.37099","Space Hulk: Death Angel – The Card Game: Space Marine Pack 1","1","6","30","30","30","2011","expansion",,,,,,,,,,,,,
3886,"Space Hulk: Death Angel – The Card Game: Tyranid Enemy Pack","5","","7.52146","Space Hulk: Death Angel – The Card Game: Tyranid Enemy Pack","1","6","30","30","30","2011","expansion",,,,,,,,,,,,,
3887,"Space Maze","3","1","13373795","362","thing","Space Maze","2","4","45","45","",,,,,,,,,,,,,
3888,"Space Maze Rollercoaster","5","","6.39875","Space Maze Rollercoaster","2","4","0","0","0","2011","expansion",,,,,,,,,,,,,
3889,"Space Waste","3","","3.9","Space Waste","2","2","60","60","60","1992","standalone",,,,,,,,,,,,,
3890,"Spacelab","4","2","4.4","Spacelab","2","5","60","60","60","1995","standalone",,,,,,,,,,,,,
3891,"Spammers","2","","4.16302","Spammers","2","6","90","90","90","1998","standalone",,,,,,,,,,,,,
3892,"Spanish Fury: Hell on the Eastern Front","7","","6.66667","Spanish Fury: Hell on the Eastern Front","2","2","180","180","180","2008","expansion",,,,,,,,,,,,,
3893,"Spanish Main","7","","6.49628","Spanish Main","1","6","90","90","90","1990","standalone",,,,,,,,,,,,,
3894,"Spank the Monkey","5","","5.93908","Spank the Monkey","2","6","30","30","30","2007","standalone",,,,,,,,,,,,,
3895,"Special Forces","6","","7.25","Special Forces","1","2","0","0","0","2007","expansion",,,,,,,,,,,,,
3896,"Special Forces II: Küstenjäger!","7","","7.16667","Special Forces II: Küstenjäger!","2","2","200","200","200","2011","expansion",,,,,,,,,,,,,
3897,"Special Ops Issue #5","6","","7.07143","Special Ops Issue #5","2","2","0","0","0","2014","expansion",,,,,,,,,,,,,
3898,"Speed","2","4","5.72713","thing","Blink","2","3","10","10","10","",,,,,,,,,,,,,
3899,"Speed Circuit","9","131","6.90449","Speed Circuit","2","6","120","120","120","1977","standalone",,,,,,,,,,,,,
3900,"Speed Circuit","10","131","6.0957","thing","Speed Circuit","2","6","120","120","120","",,,,,,,,,,,,,
3901,"Speed Circuit: Accessory Pack 1","9","","7.42581","Speed Circuit: Accessory Pack 1","2","6","45","45","45","1980","expansion",,,,,,,,,,,,,
3902,"Speed Circuit: Accessory Pack 2","9","","7.31579","Speed Circuit: Accessory Pack 2","2","6","45","45","45","0","expansion",,,,,,,,,,,,,
3903,"Speed Circuit: Accessory Pack 3","9","","7.2","Speed Circuit: Accessory Pack 3","2","6","45","45","45","0","expansion",,,,,,,,,,,,,
3904,"Speed Circuit: Accessory Pack 4","9","","7.11765","Speed Circuit: Accessory Pack 4","2","6","45","45","45","1991","expansion",,,,,,,,,,,,,
3905,"Speed Circuit: British Grand Prix","9","","6.88889","Speed Circuit: British Grand Prix","2","6","45","45","45","1978","expansion",,,,,,,,,,,,,
3906,"Speed Circuit: Detroit Grand Prix","8","","6.44444","Speed Circuit: Detroit Grand Prix","2","6","45","45","45","1986","expansion",,,,,,,,,,,,,
3907,"Speed Circuit: Grand Prix de Belgique","8","","6.95","Speed Circuit: Grand Prix de Belgique","2","6","45","45","45","0","expansion",,,,,,,,,,,,,
3908,"Speed Circuit: Grand Prix de France","7","","7","Speed Circuit: Grand Prix de France","2","6","45","45","45","1979","expansion",,,,,,,,,,,,,
3909,"Speed Circuit: South African Grand Prix","8","","7.2","Speed Circuit: South African Grand Prix","2","6","45","45","45","0","expansion",,,,,,,,,,,,,
3910,"Speed Circuit: Tournament Tracks","9","","7.25","Speed Circuit: Tournament Tracks","2","6","120","120","120","1979","expansion",,,,,,,,,,,,,
3911,"Speed Circuit: Turnier Kurs","8","","7.9","Speed Circuit: Turnier Kurs","2","6","120","120","120","1988","expansion",,,,,,,,,,,,,
3912,"The Speed of Heat","6","","7.36983","The Speed of Heat","2","2","150","150","150","1992","standalone",,,,,,,,,,,,,
3913,"Speedway Challenge","5","","6.65455","Speedway Challenge","2","4","30","30","30","1990","standalone",,,,,,,,,,,,,
3914,"Speedway Scene II","5","","7.54286","Speedway Scene II","1","4","60","60","60","0","standalone",,,,,,,,,,,,,
3915,"Die Speicherstadt","7","2","7.04976","The Speicherstadt","2","5","45","45","45","2010","standalone",,,,,,,,,,,,,
3916,"Spexxx","7","5","6.43569","Spexxx","2","4","60","60","30","2013","standalone",,,,,,,,,,,,,
3917,"Sphinx","5","18","5.82432","Sphinx","2","2","20","20","20","1987","standalone",,,,,,,,,,,,,
3918,"Spices of the World","4","3","4.75775","Spices of the World","2","6","60","60","60","1988","standalone",,,,,,,,,,,,,
3919,"Spielbox","6","53","6.73182","Miscellaneous Game Magazine","0","0","0","0","0","1981","standalone",,,,,,,,,,,,,
3920,"Spiele anders als andere","7","45","7.72465","A Gamut of Games","1","10","30","30","30","1981","standalone",,,,,,,,,,,,,
3921,"Spingo","3","5","5.36","Spingo","2","8","20","20","20","0","standalone",,,,,,,,,,,,,
3922,"Spitfire!","4","","5.28571","Spitfire!","2","2","120","120","120","1994","standalone",,,,,,,,,,,,,
3923,"Splendor","6","","7.47056","Splendor","2","4","30","30","30","2015","standalone",,,,,,,,,,,,,
3924,"Splendor: Brettspiel Adventskalender 2017 Promo","6","","6.99811","Splendor: Brettspiel Adventskalender 2017 Promo","2","4","30","30","30","2017","expansion",,,,,,,,,,,,,
3925,"Splendor: Nobles Promo Tiles","6","","7.30438","Splendor: Nobles Promo Tiles","2","4","30","30","30","2015","expansion",,,,,,,,,,,,,
3926,"Sport 3000","5","","5","Sport 3000","2","24","45","45","45","1989","standalone",,,,,,,,,,,,,
3927,"Sport Dice Boxing / Sport Dice Basketball","3","6","3","Sport Dice Boxing / Sport Dice Basketball","2","2","30","30","30","1989","standalone",,,,,,,,,,,,,
3928,"Sport Dice Football","2","","2","Sport Dice Football","1","2","20","20","20","1989","standalone",,,,,,,,,,,,,
3929,"Sport Dice Golf","6","6","6","Sport Dice Golf","1","0","40","40","40","1989","standalone",,,,,,,,,,,,,
3930,"Sport ist Mord","4","","4.68333","Sport ist Mord","3","6","60","60","60","2006","standalone",,,,,,,,,,,,,
3931,"Sport of Kings","6","","6.65385","Sport of Kings","3","12","40","40","40","1992","standalone",,,,,,,,,,,,,
3932,"Sport of Kings: Great Racehorses","6","","6","Sport of Kings: Great Racehorses","3","12","40","40","40","1993","expansion",,,,,,,,,,,,,
3933,"Sports Illustrated: Pro Golf","5","12","10115906","288","thing","Pro Golf","1","36","60","60","Augusta Course",,,,,,,,,,,,,
3934,"Sportz Dice: Football","0","1","4.5","Sportz Dice: Football","1","0","0","0","0","1986","standalone",,,,,,,,,,,,,
3935,"SPQR","7","","7.34219","SPQR","2","2","240","240","240","1992","standalone",,,,,,,,,,,,,
3936,"SPQR (Deluxe Edition)","8","","7.93448","SPQR (Deluxe Edition)","2","2","240","240","240","2008","standalone",,,,,,,,,,,,,
3937,"SPQR: Africanus","7","","7.29211","SPQR: Africanus Module","2","2","240","240","240","1994","expansion",,,,,,,,,,,,,
3938,"SPQR: Barbarian","7","","7.67157","SPQR: Barbarian","2","2","240","240","240","2008","expansion",,,,,,,,,,,,,
3939,'"SPQR: Player''s Guide"',"7","","7.90976",'"SPQR: Player''s Guide"',"2","2","0","0","0","1998","expansion",,,,,,,,,,,,,
3940,"Spree! Hong Kong Edition","3","","5.74212","Spree!","3","8","60","60","60","1997","standalone",,,,,,,,,,,,,
3941,"Springprozession","2","","3.33333","Springprozession","2","4","20","20","20","1997","standalone",,,,,,,,,,,,,
3942,"Spuk um Spuk","4","","5.65349","Spook by Spook","1","4","20","20","20","2010","standalone",,,,,,,,,,,,,
3943,"Squad","5","","5","Squad","2","2","0","0","0","1991","standalone",,,,,,,,,,,,,
3944,"Squad Leader","10","47","10122174","5594","thing","Squad Leader","2","2","60","60","",,,,,,,,,,,,,
3945,"Squad Leader Scenarios 81-90","8","","6.66667","Squad Leader Scenarios 81-90","2","2","200","200","200","1982","expansion",,,,,,,,,,,,,
3946,"Squaredance","3","","5.33333","Squaredance","2","2","0","0","0","1998","standalone",,,,,,,,,,,,,
3947,"St. Nazaire: Operation Chariot","6","","8.2963","St. Nazaire: Operation Chariot","2","2","180","180","180","2009","expansion",,,,,,,,,,,,,
3948,'"Stalin''s Fury"',"5","","5",'"Stalin''s Fury"',"2","2","90","90","90","2005","expansion",,,,,,,,,,,,,
3949,"Stalingrad","5","2","5.97896","Stalingrad","2","2","120","120","120","1963","standalone",,,,,,,,,,,,,
3950,"Stalingrad! Valor of the 37th Guards","8","","7.3","Stalingrad! Valor of the 37th Guards","2","2","0","0","0","2001","expansion",,,,,,,,,,,,,
3951,"Stamp","3","","5.41212","Stamp","3","6","30","30","30","1997","standalone",,,,,,,,,,,,,
3952,"Star Fist","3","1","5.17324","Star Fist","2","2","90","90","90","1991","standalone",,,,,,,,,,,,,
3953,"Star Fluxx","6","","6.3749","Star Fluxx","2","6","10","10","10","2011","standalone",,,,,,,,,,,,,
3954,"Star Munchkin","8","1","6.1162","Star Munchkin","3","6","90","90","90","2002","standalone",,,,,,,,,,,,,
3955,"Star Munchkin 2: The Clown Wars","8","","6.42771","Star Munchkin 2: The Clown Wars","3","6","90","90","90","2004","expansion",,,,,,,,,,,,,
3956,"Star Munchkin 3: Diplomatic Impunity","7","","7.10882","Star Munchkin 3: Diplomatic Impunity","3","6","90","90","0","2015","expansion",,,,,,,,,,,,,
3957,"Star Munchkin Cosmic Demo","6","","0","thing","Star Munchkin Cosmic Demo","0","0","0","0","0","",,,,,,,,,,,,,
3958,"Star Munchkin: Space Ships","6","","6.70758","Star Munchkin: Space Ships","3","6","90","90","90","2010","expansion",,,,,,,,,,,,,
3959,"Star Trek Deck Building Game: The Original Series","8","","6.6918","Star Trek Deck Building Game: The Original Series","2","4","90","90","90","2012","standalone",,,,,,,,,,,,,
3960,"Star Trek Deck Building Game: Tribbles Promo","6","","7.1087","Star Trek Deck Building Game: Tribbles Promo","0","0","0","0","0","2012","expansion",,,,,,,,,,,,,
3961,"Star Trek Fluxx","7","","6.71022","Star Trek Fluxx","2","6","40","40","10","2018","standalone",,,,,,,,,,,,,
3962,"Star Trek III","3","","5.99078","Star Trek III","1","1","60","60","60","1985","standalone",,,,,,,,,,,,,
3963,"Star Trek Panic","7","","7.08552","Star Trek Panic","1","6","90","90","90","2016","standalone",,,,,,,,,,,,,
3964,"Star Trek: Five-Year Mission","8","16","6.51356","Star Trek: Five-Year Mission","3","7","45","45","30","2015","standalone",,,,,,,,,,,,,
3965,"Star Trek: Five-Year Mission – Janice Rand / Wesley Crusher Promo","6","","","2","0","294","thing","Star Trek: Five-Year Mission – Janice Rand / Wesley Crusher Promo","3","7","",,,,,,,,,,,,,
3966,"Star Trek: The Adventure Game","7","","6.89248","Star Trek: The Adventure Game","1","2","120","120","120","1985","standalone",,,,,,,,,,,,,
3967,"Star Trek: The Dice Game","6","","7.80959","Star Trek: The Dice Game","1","1","90","90","45","2016","standalone",,,,,,,,,,,,,
3968,"Star Trek: The Game","7","","4.38462","Star Trek: The Game","2","6","60","60","60","1992","standalone",,,,,,,,,,,,,
3969,"Star Trek: The Next Generation Fluxx","7","","6.90224","Star Trek: The Next Generation Fluxx","2","6","30","30","5","2018","standalone",,,,,,,,,,,,,
3970,"Star Wars Lightsaber Dueling","5","1","5.92316","Star Wars Lightsaber Dueling","2","2","20","20","20","1988","standalone",,,,,,,,,,,,,
3971,"Star Wars Miniatures Battles","6","","6.68063","Star Wars Miniatures Battles","2","3","120","120","120","1993","standalone",,,,,,,,,,,,,
3972,"Star Wars Miniatures Battles Companion","6","","6.9359","Star Wars Miniatures Battles Companion","2","6","2","2","2","1994","expansion",,,,,,,,,,,,,
3973,"Star Wars Miniatures Battles: Imperial Entanglements","6","","7.15","Star Wars Miniatures Battles: Imperial Entanglements","2","6","120","120","120","1996","expansion",,,,,,,,,,,,,
3974,"Star Wars: Armada – Rogues and Villains Expansion Pack","7","","8.02189","Star Wars: Armada – Rogues and Villains Expansion Pack","2","2","120","120","120","2015","expansion",,,,,,,,,,,,,
3975,"Star Wars: Battle for Endor","4","","6.105","Star Wars: Battle for Endor","1","1","60","60","60","1989","standalone",,,,,,,,,,,,,
3976,"Star Wars: Escape From The Death Star","5","1","5.61299","Star Wars: Escape From The Death Star","1","4","60","60","60","1990","standalone",,,,,,,,,,,,,
3977,"Star Wars: Imperial Assault","10","85",,,,,,,,,,,,,,,,,,,,,,
3978,,,,,,,,,,,,,,,,,,,,,,,,,
3979,One of my favorite games to play with my wife,"","","","","Fantasy Flight Games","English","2014","English edition",,,,,,,,,,,,,,,,
3980,"Star Wars: Imperial Assault – Agent Blaise Villain Pack","8","","7.872","Star Wars: Imperial Assault – Agent Blaise Villain Pack","2","5","120","120","60","2016","expansion",,,,,,,,,,,,,
3981,"Star Wars: Imperial Assault – Ahsoka Tano Ally Pack","9","","8.19851","Star Wars: Imperial Assault – Ahsoka Tano Ally Pack","2","5","60","60","60","2017","expansion",,,,,,,,,,,,,
3982,"Star Wars: Imperial Assault – Alliance Rangers Ally Pack","7","","7.95478","Star Wars: Imperial Assault – Alliance Rangers Ally Pack","2","5","0","0","0","2016","expansion",,,,,,,,,,,,,
3983,"Star Wars: Imperial Assault – Alliance Rangers Ally Pack","7","","7.95478","Star Wars: Imperial Assault – Alliance Rangers Ally Pack","2","5","0","0","0","2016","expansion",,,,,,,,,,,,,
3984,"Star Wars: Imperial Assault – Alliance Smuggler Ally Pack","8","","7.65344","Star Wars: Imperial Assault – Alliance Smuggler Ally Pack","2","5","0","0","0","2015","expansion",,,,,,,,,,,,,
3985,"Star Wars: Imperial Assault – Bantha Rider Villain Pack","8","","8.02055","Star Wars: Imperial Assault – Bantha Rider Villain Pack","2","5","0","0","0","2015","expansion",,,,,,,,,,,,,
3986,"Star Wars: Imperial Assault – Boba Fett Villain Pack","9","","8.12924","Star Wars: Imperial Assault – Boba Fett Villain Pack","2","5","120","120","60","2015","expansion",,,,,,,,,,,,,
3987,"Star Wars: Imperial Assault – Bossk Villain Pack","9","","8.09808","Star Wars: Imperial Assault – Bossk Villain Pack","2","5","120","120","60","2016","expansion",,,,,,,,,,,,,
3988,"Star Wars: Imperial Assault – BT-1 and 0-0-0 Villain Pack","8","","8.09281","Star Wars: Imperial Assault – BT-1 and 0-0-0 Villain Pack","2","5","120","120","60","2017","expansion",,,,,,,,,,,,,
3989,"Star Wars: Imperial Assault – Captain Terro Villain Pack","8","","7.98433","Star Wars: Imperial Assault – Captain Terro Villain Pack","2","5","0","0","0","2016","expansion",,,,,,,,,,,,,
3990,"Star Wars: Imperial Assault – Chewbacca Ally Pack","10","","7.95444","Star Wars: Imperial Assault – Chewbacca Ally Pack","2","5","60","60","60","2015","expansion",,,,,,,,,,,,,
3991,"Star Wars: Imperial Assault – Dengar Villain Pack","7","","7.69159","Star Wars: Imperial Assault – Dengar Villain Pack","2","5","120","120","90","2015","expansion",,,,,,,,,,,,,
3992,"Star Wars: Imperial Assault – Echo Base Troopers Ally Pack","7","","7.82649","Star Wars: Imperial Assault – Echo Base Troopers Ally Pack","2","5","120","120","90","2015","expansion",,,,,,,,,,,,,
3993,"Star Wars: Imperial Assault – Emperor Palpatine Villain Pack","8","","8.18693","Star Wars: Imperial Assault – Emperor Palpatine Villain Pack","2","5","60","60","60","2017","expansion",,,,,,,,,,,,,
3994,"Star Wars: Imperial Assault – Ezra Bridger and Kanan Jarrus Ally Pack","8","","8.35215","Star Wars: Imperial Assault – Ezra Bridger and Kanan Jarrus Ally Pack","2","5","120","120","60","2018","expansion",,,,,,,,,,,,,
3995,"Star Wars: Imperial Assault – General Sorin Villain Pack","7","","7.68007","Star Wars: Imperial Assault – General Sorin Villain Pack","2","5","120","120","90","2015","expansion",,,,,,,,,,,,,
3996,"Star Wars: Imperial Assault – General Weiss Villain Pack","8","","7.92753","Star Wars: Imperial Assault – General Weiss Villain Pack","2","5","60","60","60","2015","expansion",,,,,,,,,,,,,
3997,"Star Wars: Imperial Assault – Greedo Villain Pack","9","","8.0316","Star Wars: Imperial Assault – Greedo Villain Pack","2","5","120","120","60","2016","expansion",,,,,,,,,,,,,
3998,"Star Wars: Imperial Assault – Han Solo Ally Pack","9","","7.96738","Star Wars: Imperial Assault – Han Solo Ally Pack","2","5","60","60","60","2015","expansion",,,,,,,,,,,,,
3999,"Star Wars: Imperial Assault – Heart of the Empire","10","8","8.52033","Star Wars: Imperial Assault – Heart of the Empire","2","5","90","90","60","2017","expansion",,,,,,,,,,,,,
4000,"Star Wars: Imperial Assault – Hera Syndulla and C1-10P Ally Pack","9","","8.13717","Star Wars: Imperial Assault – Hera Syndulla and C1-10P Ally Pack","2","5","60","60","60","2017","expansion",,,,,,,,,,,,,
4001,"Star Wars: Imperial Assault – Hired Guns Villain Pack","7","","7.747","Star Wars: Imperial Assault – Hired Guns Villain Pack","2","5","60","0","60","2015","expansion",,,,,,,,,,,,,
4002,"Star Wars: Imperial Assault – Hondo Ohnaka Villain Pack","8","","8.17312","Star Wars: Imperial Assault – Hondo Ohnaka Villain Pack","2","5","120","120","60","2018","expansion",,,,,,,,,,,,,
4003,"Star Wars: Imperial Assault – IG-88 Villain Pack","8","","7.86656","Star Wars: Imperial Assault – IG-88 Villain Pack","2","5","60","60","60","2015","expansion",,,,,,,,,,,,,
4004,"Star Wars: Imperial Assault – ISB Infiltrators Villain Pack","7","","8.00226","Star Wars: Imperial Assault – ISB Infiltrators Villain Pack","2","5","120","120","60","2016","expansion",,,,,,,,,,,,,
4005,"Star Wars: Imperial Assault – ISB Infiltrators Villain Pack","7","","8.00226","Star Wars: Imperial Assault – ISB Infiltrators Villain Pack","2","5","120","120","60","2016","expansion",,,,,,,,,,,,,
4006,"Star Wars: Imperial Assault – Jabba the Hutt Villain Pack","9","","8.04559","Star Wars: Imperial Assault – Jabba the Hutt Villain Pack","2","5","0","0","0","2016","expansion",,,,,,,,,,,,,
4007,'"Star Wars: Imperial Assault – Jabba''s Realm"',"10","1","8.54774",'"Star Wars: Imperial Assault – Jabba''s Realm"',"2","5","0","0","0","2016","expansion",,,,,,,,,,,,,
4008,"Star Wars: Imperial Assault – Jawa Scavenger Villain Pack","8","","8.04909","Star Wars: Imperial Assault – Jawa Scavenger Villain Pack","2","5","120","120","60","2017","expansion",,,,,,,,,,,,,
4009,"Star Wars: Imperial Assault – Jawa Scavenger Villain Pack","8","","8.04909","Star Wars: Imperial Assault – Jawa Scavenger Villain Pack","2","5","120","120","60","2017","expansion",,,,,,,,,,,,,
4010,"Star Wars: Imperial Assault – Kayn Somos Villain Pack","8","","7.71987","Star Wars: Imperial Assault – Kayn Somos Villain Pack","2","5","90","90","90","2015","expansion",,,,,,,,,,,,,
4011,"Star Wars: Imperial Assault – Lando Calrissian Ally Pack","10","","8.06934","Star Wars: Imperial Assault – Lando Calrissian Ally Pack","2","5","120","120","60","2016","expansion",,,,,,,,,,,,,
4012,"Star Wars: Imperial Assault – Legends of the Alliance","10","4","8.46089","Star Wars: Imperial Assault – Legends of the Alliance","1","4","120","120","60","2017","expansion",,,,,,,,,,,,,
4013,"Star Wars: Imperial Assault – Leia Organa Ally Pack","10","","8.00018","Star Wars: Imperial Assault – Leia Organa Ally Pack","2","5","120","120","90","2015","expansion",,,,,,,,,,,,,
4014,"Star Wars: Imperial Assault – Luke Skywalker Jedi Knight Ally Pack","9","","8.10544","Star Wars: Imperial Assault – Luke Skywalker Jedi Knight Ally Pack","2","5","0","0","0","2016","expansion",,,,,,,,,,,,,
4015,"Star Wars: Imperial Assault – Maul Villain Pack","8","","8.16621","Star Wars: Imperial Assault – Maul Villain Pack","2","5","60","60","60","2017","expansion",,,,,,,,,,,,,
4016,"Star Wars: Imperial Assault – Obi-Wan Kenobi Ally Pack","9","","8.20585","Star Wars: Imperial Assault – Obi-Wan Kenobi Ally Pack","2","5","60","60","60","2016","expansion",,,,,,,,,,,,,
4017,"Star Wars: Imperial Assault – R2-D2 and C-3PO Ally Pack","10","","7.94661","Star Wars: Imperial Assault – R2-D2 and C-3PO Ally Pack","2","5","90","90","90","2015","expansion",,,,,,,,,,,,,
4018,"Star Wars: Imperial Assault – Rebel Saboteurs Ally Pack","8","","7.86387","Star Wars: Imperial Assault – Rebel Saboteurs Ally Pack","2","5","60","60","60","2015","expansion",,,,,,,,,,,,,
4019,"Star Wars: Imperial Assault – Rebel Troopers Ally Pack","8","","7.77026","Star Wars: Imperial Assault – Rebel Troopers Ally Pack","2","5","60","60","60","2015","expansion",,,,,,,,,,,,,
4020,"Star Wars: Imperial Assault – Return to Hoth","10","1","8.45118","Star Wars: Imperial Assault – Return to Hoth","2","5","120","120","90","2015","expansion",,,,,,,,,,,,,
4021,"Star Wars: Imperial Assault – Royal Guard Champion Villain Pack","8","","7.91785","Star Wars: Imperial Assault – Royal Guard Champion Villain Pack","2","5","60","60","60","2015","expansion",,,,,,,,,,,,,
4022,"Star Wars: Imperial Assault – Sabine Wren and Zeb Orrelios Ally Pack","8","","8.36697","Star Wars: Imperial Assault – Sabine Wren and Zeb Orrelios Ally Pack","2","5","120","120","60","2018","expansion",,,,,,,,,,,,,
4023,"Star Wars: Imperial Assault – Stormtroopers Villain Pack","7","","7.63778","Star Wars: Imperial Assault – Stormtroopers Villain Pack","2","5","60","0","60","2015","expansion",,,,,,,,,,,,,
4024,"Star Wars: Imperial Assault – Stormtroopers Villain Pack","7","","7.63778","Star Wars: Imperial Assault – Stormtroopers Villain Pack","2","5","60","0","60","2015","expansion",,,,,,,,,,,,,
4025,"Star Wars: Imperial Assault – The Bespin Gambit","9","1","8.31204","Star Wars: Imperial Assault – The Bespin Gambit","2","5","120","120","60","2016","expansion",,,,,,,,,,,,,
4026,"Star Wars: Imperial Assault – The Grand Inquisitor Villain Pack","7","","8.14524","Star Wars: Imperial Assault – The Grand Inquisitor Villain Pack","2","5","120","120","60","2016","expansion",,,,,,,,,,,,,
4027,"Star Wars: Imperial Assault – Thrawn Villain Pack","8","","8.3077","Star Wars: Imperial Assault – Thrawn Villain Pack","2","5","120","120","60","2018","expansion",,,,,,,,,,,,,
4028,"Star Wars: Imperial Assault – Twin Shadows","10","2","8.24427","Star Wars: Imperial Assault – Twin Shadows","2","5","120","120","60","2015","expansion",,,,,,,,,,,,,
4029,"Star Wars: Imperial Assault – Tyrants of Lothal","10","1","8.59199","Star Wars: Imperial Assault – Tyrants of Lothal","2","5","120","120","60","2018","expansion",,,,,,,,,,,,,
4030,"Star Wars: Imperial Assault – Wookiee Warriors Ally Pack","7","","7.87777","Star Wars: Imperial Assault – Wookiee Warriors Ally Pack","2","5","120","120","60","2015","expansion",,,,,,,,,,,,,
4031,"Star Wars: Outer Rim","9","2",,,,,,,,,,,,,,,,,,,,,,
4032,,,,,,,,,,,,,,,,,,,,,,,,,
4033,The Database cards are responsible for story telling, bounties, contacts) and of course,,,,,,,,,,,,,,,,,,,,,,
4034,,,,,,,,,,,,,,,,,,,,,,,,,
4035,I rate this game a 9, this can easily rise to a 10. This is adventure gaming as it should be.","","","standalone","","Fantasy Flight Games","English","2019","English edition",,,,,,,,,,,,,,,
4036,"Star Wars: Rebellion","10","1", AT-STs,,,,,,,,,,,,,,,,,,,,,
4037,,,,,,,,,,,,,,,,,,,,,,,,,
4038,A grand strategy cat & mouse game, but it is worth every cent. So much replay value, such a great game play!,,,,,,,,,,,,,,,,,,,,,,
4039,,,,,,,,,,,,,,,,,,,,,,,,,
4040,This game is now one of my three desert island games,"","","","","Fantasy Flight Games","English","2016","English edition",,,,,,,,,,,,,,,,
4041,"Star Wars: Rebellion – Rise of the Empire","8","","8.86484","Star Wars: Rebellion – Rise of the Empire","2","4","240","240","180","2017","expansion",,,,,,,,,,,,,
4042,"Star Wars: Star Warriors","4","","6.86258","Star Wars: Star Warriors","2","6","120","120","120","1987","standalone",,,,,,,,,,,,,
4043,"Star Wars: Starfighter Battle Book","6","","6.47913","Star Wars: Starfighter Battle Book","2","2","10","10","10","1989","standalone",,,,,,,,,,,,,
4044,"Star Wars: The Card Game","8","1","18206292","9349","thing","Star Wars: The Card Game","2","2","60","60","",,,,,,,,,,,,,
4045,"Star Wars: The Card Game – Edge of Darkness","7","","7.73153","Star Wars: The Card Game – Edge of Darkness","2","2","60","60","60","2013","expansion",,,,,,,,,,,,,
4046,"Starbase Jeff","6","5","6.1349","Starbase Jeff","2","4","60","60","30","0","standalone",,,,,,,,,,,,,
4047,"Starcade","6","","6.09565","Starcade","1","3","30","30","15","2017","standalone",,,,,,,,,,,,,
4048,"Starfire","4","","6.84453","Starfire","2","3","120","120","30","1984","standalone",,,,,,,,,,,,,
4049,"Starquest","5","","6.98828","Space Crusade","2","4","120","120","120","1991","standalone",,,,,,,,,,,,,
4050,"Starquest: Angriff der Eldar","5","","7.00921","Space Crusade: Eldar Attack","2","5","120","120","120","1992","expansion",,,,,,,,,,,,,
4051,"Starquest: Einsatz – Dreadnought","5","","7.09125","Space Crusade: Mission Dreadnought","2","4","120","120","120","1992","expansion",,,,,,,,,,,,,
4052,"Starship Captain","5","","5.92308","Starship Captain","2","16","90","90","90","1982","standalone",,,,,,,,,,,,,
4053,"Starship Merchants","8","1","6.63437","Starship Merchants","2","4","90","90","90","2012","standalone",,,,,,,,,,,,,
4054,"Starship Troopers","6","2","6.48225","Starship Troopers","1","2","120","120","120","1976","standalone",,,,,,,,,,,,,
4055,"Starship Troopers: Prepare For Battle!","5","1","5.74847","Starship Troopers: Prepare For Battle!","2","4","45","45","45","1997","standalone",,,,,,,,,,,,,
4056,"Starship Tycoons","7","3","10122218","40","thing","Starship Tycoons","2","6","0","0","",,,,,,,,,,,,,
4057,"Start Player: A Kinda Collectible Card Game","1","","6.49444","Start Player: A Kinda Collectible Card Game","2","999","1","1","1","2006","standalone",,,,,,,,,,,,,
4058,"Stash","3","","5.66941","Stash","2","5","120","120","120","1992","standalone",,,,,,,,,,,,,
